4138
250
4
ECG	Pao	Dao	Qao
37.51	56.44	19.19	0.01
34.93	56.89	19.19	0.12
34.69	57.26	19.19	0.28
33.80	57.55	19.20	0.54
35.88	58.21	19.21	0.90
36.77	59.17	19.24	1.35
36.31	60.58	19.28	1.89
38.35	61.71	19.33	2.53
36.31	62.62	19.39	3.25
38.86	63.47	19.44	4.02
38.70	64.35	19.50	4.73
39.36	65.33	19.54	5.37
39.67	65.98	19.58	5.95
37.61	66.44	19.62	6.46
37.83	66.80	19.65	6.87
37.72	67.33	19.68	7.23
37.59	68.13	19.71	7.54
36.04	68.59	19.73	7.80
34.39	68.88	19.75	7.98
31.76	69.15	19.77	8.15
31.82	69.59	19.79	8.21
29.82	70.13	19.80	8.16
29.88	70.32	19.82	8.05
28.37	70.34	19.83	7.96
28.79	70.26	19.84	7.92
27.80	70.42	19.84	7.89
25.55	70.77	19.85	7.88
22.71	70.73	19.85	7.92
18.85	70.68	19.85	7.98
17.52	70.62	19.86	8.04
14.29	70.74	19.86	8.08
7.40	71.12	19.86	8.13
5.07	71.11	19.86	8.18
4.60	71.01	19.87	8.24
1.24	70.92	19.87	8.31
1.86	71.02	19.88	8.37
-1.78	71.36	19.88	8.43
-3.55	71.30	19.88	8.48
-6.92	71.19	19.88	8.48
-8.72	71.06	19.88	8.45
-7.38	71.13	19.88	8.39
-7.55	71.31	19.88	8.35
-6.79	71.16	19.88	8.31
-3.75	70.92	19.87	8.28
-0.34	70.55	19.87	8.22
5.82	70.52	19.87	8.16
11.39	70.54	19.87	8.10
13.36	70.21	19.86	7.99
13.46	69.88	19.85	7.83
10.88	69.38	19.84	7.67
5.28	69.16	19.83	7.49
-2.04	69.05	19.82	7.34
-9.34	68.54	19.81	7.18
-12.29	67.84	19.79	6.93
-17.03	67.20	19.78	6.67
-20.73	66.75	19.75	6.37
-20.23	66.28	19.73	6.00
-23.37	65.30	19.69	5.49
-19.67	64.22	19.65	4.93
-17.23	63.01	19.60	4.33
-16.06	62.35	19.55	3.71
-16.77	62.17	19.51	3.17
-16.62	61.90	19.48	2.78
-16.76	62.16	19.47	2.61
-16.93	62.54	19.48	2.68
-14.44	62.94	19.50	2.95
-13.47	63.05	19.51	3.32
-14.75	62.77	19.50	3.61
-12.10	62.44	19.50	3.73
-12.01	62.14	19.49	3.69
-11.73	62.20	19.48	3.58
-10.58	62.41	19.47	3.49
-10.80	62.23	19.47	3.40
-6.68	62.23	19.46	3.33
-9.08	62.34	19.46	3.27
-6.94	62.71	19.46	3.20
-5.66	63.09	19.47	3.16
-6.53	62.95	19.48	3.14
-11.65	62.83	19.49	3.12
-20.00	62.64	19.49	3.10
-17.07	62.73	19.49	3.06
-11.82	62.78	19.48	3.00
-8.05	62.54	19.47	2.93
18.18	62.38	19.47	2.85
42.15	62.05	19.46	2.76
62.15	62.12	19.45	2.62
79.83	62.26	19.45	2.42
92.48	61.88	19.44	2.22
103.30	61.63	19.44	2.02
90.67	61.44	19.43	1.85
59.03	61.47	19.43	1.71
24.66	61.51	19.42	1.59
-18.90	61.20	19.41	1.46
-43.31	61.07	19.41	1.34
-56.85	60.83	19.41	1.24
-52.72	61.00	19.41	1.14
-41.16	60.99	19.40	1.05
-34.86	60.72	19.40	0.98
-28.53	60.49	19.40	0.90
-26.57	60.36	19.40	0.82
-23.28	60.55	19.39	0.73
-18.24	60.53	19.38	0.63
-14.77	60.15	19.38	0.55
-10.01	59.92	19.37	0.44
-10.02	59.73	19.37	0.31
-7.43	59.87	19.36	0.17
-3.49	59.79	19.35	0.03
-9.67	59.42	19.35	-0.09
-27.02	59.22	19.34	-0.19
-107.50	58.96	19.33	-0.28
-236.90	59.13	19.32	-0.38
-352.90	59.03	19.31	-0.50
-373.20	58.76	19.31	-0.58
-242.70	58.47	19.30	-0.66
-94.85	58.40	19.29	-0.68
50.51	58.56	19.29	-0.68
162.60	58.47	19.28	-0.69
177.60	58.24	19.27	-0.70
112.10	58.03	19.27	-0.73
51.40	57.89	19.27	-0.78
39.51	58.07	19.26	-0.84
51.25	57.98	19.25	-0.86
47.69	57.63	19.25	-0.86
32.63	57.29	19.24	-0.87
21.62	57.06	19.23	-0.85
18.54	57.12	19.22	-0.82
20.57	57.02	19.22	-0.80
16.92	56.76	19.21	-0.80
11.77	56.57	19.21	-0.82
6.24	56.70	19.20	-0.79
4.79	57.07	19.21	-0.72
6.00	57.09	19.22	-0.61
1.44	56.81	19.21	-0.50
-1.32	56.57	19.21	-0.41
-2.07	56.46	19.20	-0.33
-6.18	56.70	19.19	-0.24
-6.35	56.80	19.19	-0.16
-7.54	56.91	19.20	-0.07
-8.87	57.26	19.20	0.11
-6.52	58.07	19.21	0.43
-5.58	59.24	19.24	0.89
-5.34	60.34	19.28	1.47
-6.17	61.35	19.33	2.14
-2.51	62.28	19.38	2.88
-2.19	63.36	19.44	3.67
-1.89	64.56	19.49	4.51
-0.06	65.25	19.54	5.38
1.99	65.75	19.58	6.14
2.62	66.17	19.62	6.72
2.00	66.83	19.65	7.14
2.06	67.64	19.68	7.45
2.81	68.06	19.70	7.65
4.65	68.42	19.72	7.78
4.16	68.71	19.75	7.85
3.41	69.23	19.77	7.91
3.28	69.94	19.79	7.99
1.50	70.17	19.80	8.03
-0.30	70.13	19.82	7.99
-1.10	70.18	19.83	7.89
-1.24	70.31	19.84	7.83
-3.73	70.65	19.84	7.80
-5.86	70.65	19.85	7.78
-9.72	70.55	19.85	7.82
-10.93	70.49	19.85	7.91
-11.17	70.66	19.86	8.00
-15.04	71.05	19.86	8.07
-16.39	71.02	19.86	8.15
-19.53	71.00	19.87	8.19
-20.73	70.92	19.87	8.19
-23.98	71.10	19.88	8.19
-26.40	71.45	19.88	8.25
-29.06	71.31	19.88	8.32
-27.98	71.27	19.88	8.38
-30.56	71.11	19.88	8.42
-29.25	71.22	19.88	8.40
-26.69	71.49	19.88	8.36
-26.89	71.24	19.88	8.31
-23.98	71.11	19.88	8.27
-21.43	70.83	19.88	8.28
-17.97	70.88	19.88	8.29
-12.49	70.95	19.87	8.26
-6.62	70.57	19.87	8.15
-1.43	70.24	19.87	7.99
-1.34	69.80	19.86	7.87
-2.55	69.67	19.85	7.74
-10.38	69.62	19.84	7.55
-17.53	69.06	19.83	7.34
-22.56	68.55	19.82	7.15
-28.78	67.94	19.80	7.09
-30.60	67.62	19.78	7.01
-29.63	67.24	19.76	6.75
-32.81	66.32	19.74	6.39
-31.92	65.39	19.71	5.93
-31.45	64.35	19.67	5.39
-29.16	63.49	19.62	4.62
-28.49	62.83	19.57	3.67
-27.90	62.00	19.52	2.79
-25.23	61.68	19.49	2.23
-25.12	61.90	19.47	2.11
-25.96	62.67	19.47	2.36
-23.91	63.14	19.49	2.79
-26.88	63.02	19.51	3.18
-20.66	62.73	19.51	3.42
-19.89	62.43	19.50	3.49
-19.85	62.47	19.49	3.53
-17.97	62.47	19.48	3.49
-17.81	62.23	19.48	3.41
-16.48	62.09	19.47	3.36
-16.71	62.13	19.46	3.37
-14.30	62.53	19.46	3.41
-12.88	62.88	19.46	3.49
-15.21	62.86	19.47	3.58
-13.32	62.87	19.48	3.55
-16.90	62.82	19.49	3.38
-22.80	62.99	19.49	3.16
-30.07	62.97	19.49	3.00
-24.37	62.74	19.48	2.93
-17.35	62.49	19.48	2.87
-7.38	62.35	19.47	2.80
19.12	62.44	19.46	2.70
41.07	62.35	19.46	2.57
58.36	62.04	19.45	2.47
77.89	61.86	19.44	2.34
90.92	61.61	19.44	2.22
92.14	61.78	19.43	2.10
73.86	61.68	19.43	1.94
37.97	61.34	19.42	1.77
0.65	61.11	19.42	1.60
-33.40	60.98	19.41	1.45
-55.40	61.15	19.41	1.26
-59.29	61.08	19.41	1.10
-54.04	60.80	19.40	1.00
-39.74	60.62	19.40	0.89
-33.31	60.49	19.40	0.78
-31.07	60.67	19.39	0.72
-30.00	60.61	19.39	0.68
-25.13	60.27	19.39	0.61
-19.27	60.09	19.38	0.54
-14.45	59.94	19.38	0.46
-13.90	60.08	19.37	0.35
-10.46	59.91	19.36	0.25
-9.26	59.61	19.35	0.14
-6.15	59.34	19.35	0.04
-12.91	59.19	19.34	-0.04
-56.47	59.37	19.33	-0.10
-169.70	59.23	19.33	-0.18
-293.00	58.96	19.32	-0.22
-375.30	58.66	19.31	-0.26
-314.00	58.53	19.31	-0.27
-160.70	58.73	19.30	-0.35
-17.21	58.61	19.29	-0.47
116.70	58.34	19.28	-0.47
187.20	58.09	19.28	-0.46
151.50	58.01	19.27	-0.45
75.79	58.21	19.26	-0.44
43.25	58.10	19.26	-0.46
46.25	57.83	19.26	-0.50
50.43	57.56	19.25	-0.57
41.00	57.42	19.24	-0.60
26.09	57.50	19.24	-0.61
19.05	57.26	19.23	-0.64
19.80	56.85	19.22	-0.65
21.57	56.61	19.21	-0.65
16.81	56.65	19.21	-0.62
8.87	56.96	19.20	-0.60
3.66	57.05	19.21	-0.53
2.68	56.98	19.21	-0.43
0.24	56.78	19.22	-0.32
-1.81	56.69	19.21	-0.23
-5.16	56.82	19.21	-0.13
-7.94	56.71	19.20	-0.11
-9.78	56.59	19.19	-0.08
-10.91	56.61	19.19	0.04
-9.65	57.06	19.19	0.23
-11.56	57.96	19.21	0.56
-9.10	58.69	19.22	1.03
-8.35	59.65	19.26	1.65
-5.92	60.59	19.30	2.37
-6.18	61.83	19.35	3.12
-8.46	63.18	19.41	3.85
-8.33	63.97	19.46	4.59
-5.84	64.62	19.51	5.29
-7.00	65.20	19.56	5.88
-3.02	65.92	19.60	6.38
-2.45	66.81	19.63	6.82
-5.03	67.20	19.66	7.24
-5.60	67.62	19.69	7.60
-3.79	67.93	19.71	7.79
-5.90	68.62	19.73	7.88
-7.27	69.32	19.75	7.94
-6.15	69.57	19.78	8.01
-5.48	69.80	19.80	8.09
-8.11	69.92	19.81	8.08
-6.74	70.22	19.83	7.99
-6.97	70.64	19.84	7.97
-10.82	70.53	19.84	7.94
-8.64	70.41	19.85	7.96
-10.60	70.35	19.85	8.02
-12.84	70.64	19.85	8.06
-11.80	71.03	19.85	8.09
-17.02	70.81	19.86	8.12
-16.68	70.87	19.86	8.14
-19.61	70.82	19.87	8.18
-20.11	71.06	19.87	8.23
-25.37	71.28	19.87	8.26
-28.01	71.23	19.88	8.29
-26.87	71.15	19.88	8.31
-30.85	71.05	19.88	8.32
-31.82	71.28	19.88	8.33
-31.34	71.50	19.89	8.37
-34.79	71.28	19.88	8.41
-33.91	71.13	19.88	8.42
-30.11	70.97	19.88	8.44
-31.08	71.01	19.88	8.48
-27.65	71.11	19.88	8.49
-24.11	70.74	19.88	8.42
-15.30	70.46	19.87	8.30
-11.11	70.14	19.87	8.21
-6.44	70.13	19.86	8.10
-6.80	70.00	19.85	7.94
-12.46	69.52	19.84	7.79
-16.69	69.13	19.83	7.65
-25.74	68.63	19.82	7.55
-32.14	68.41	19.81	7.43
-33.68	68.10	19.79	7.23
-37.55	67.35	19.78	6.92
-34.97	66.63	19.75	6.45
-36.01	65.76	19.72	5.92
-35.07	65.12	19.69	5.38
-34.66	64.25	19.65	4.81
-35.52	63.08	19.60	4.10
-33.18	62.16	19.55	3.38
-36.29	61.73	19.50	2.76
-36.17	62.00	19.48	2.31
-33.51	62.54	19.47	2.25
-37.34	62.83	19.48	2.53
-34.97	62.93	19.50	2.88
-32.43	62.75	19.51	3.14
-33.60	62.72	19.51	3.35
-29.68	62.71	19.50	3.49
-30.03	62.30	19.49	3.46
-27.49	62.09	19.48	3.38
-27.75	61.99	19.47	3.32
-27.00	62.29	19.47	3.31
-24.33	62.43	19.46	3.32
-24.18	62.49	19.46	3.29
-21.46	62.67	19.47	3.26
-18.57	62.73	19.48	3.19
-20.36	63.09	19.49	3.05
-20.70	63.09	19.49	2.91
-31.69	62.82	19.49	2.81
-33.81	62.64	19.49	2.73
-22.97	62.50	19.48	2.68
-22.64	62.68	19.47	2.70
-4.47	62.59	19.47	2.67
21.65	62.29	19.46	2.56
40.69	61.97	19.45	2.36
59.07	61.86	19.45	2.13
75.02	62.03	19.44	1.94
88.40	61.83	19.44	1.80
78.38	61.54	19.43	1.66
49.67	61.33	19.43	1.52
15.72	61.22	19.42	1.41
-25.89	61.36	19.42	1.28
-54.74	61.25	19.41	1.14
-69.89	60.97	19.41	1.02
-64.59	60.71	19.41	0.88
-57.74	60.64	19.41	0.74
-49.51	60.83	19.40	0.63
-44.07	60.74	19.40	0.54
-44.96	60.49	19.39	0.47
-38.65	60.23	19.39	0.36
-31.74	60.15	19.39	0.26
-27.93	60.28	19.38	0.16
-25.07	60.18	19.37	0.04
-21.69	59.88	19.37	-0.09
-17.85	59.58	19.36	-0.22
-14.13	59.48	19.36	-0.33
-14.19	59.61	19.34	-0.43
-26.03	59.44	19.34	-0.50
-90.73	59.10	19.33	-0.56
-214.60	58.82	19.32	-0.61
-333.30	58.83	19.32	-0.67
-379.50	58.96	19.31	-0.72
-273.90	58.72	19.30	-0.74
-120.30	58.50	19.30	-0.76
24.91	58.24	19.29	-0.71
148.30	58.12	19.28	-0.69
183.40	58.38	19.28	-0.70
124.60	58.21	19.27	-0.72
59.01	57.96	19.26	-0.71
38.46	57.70	19.26	-0.67
47.75	57.70	19.26	-0.58
50.05	57.76	19.25	-0.49
35.51	57.53	19.24	-0.45
20.40	57.18	19.24	-0.47
18.28	56.83	19.23	-0.50
18.11	56.78	19.22	-0.53
14.43	57.01	19.21	-0.54
8.82	56.80	19.21	-0.53
-0.49	56.78	19.21	-0.50
-4.45	56.72	19.21	-0.44
-2.45	56.95	19.22	-0.34
-4.80	57.02	19.22	-0.24
-9.41	56.74	19.21	-0.18
-9.83	56.56	19.20	-0.13
-11.30	56.34	19.20	-0.09
-11.40	56.61	19.20	-0.03
-12.25	57.11	19.19	0.10
-12.35	57.38	19.20	0.27
-8.94	57.90	19.21	0.56
-9.27	58.71	19.23	1.03
-5.75	59.98	19.27	1.66
-4.74	61.33	19.32	2.38
-6.97	62.24	19.37	3.15
-5.10	63.20	19.43	3.95
-4.75	63.90	19.48	4.71
-3.47	64.87	19.53	5.40
-1.66	65.76	19.57	6.07
-2.23	66.23	19.61	6.70
-3.22	66.72	19.64	7.23
-5.79	67.03	19.67	7.62
-4.60	67.77	19.69	7.84
-5.05	68.46	19.72	7.98
-5.78	68.73	19.74	8.04
-2.32	69.14	19.76	8.04
-3.76	69.44	19.78	8.03
-2.69	69.92	19.80	8.02
-3.33	70.34	19.82	7.98
-5.61	70.32	19.83	7.93
-3.32	70.32	19.84	7.93
-4.21	70.29	19.84	7.95
-6.48	70.64	19.85	7.95
-9.25	70.81	19.85	8.01
-11.47	70.78	19.85	8.10
-11.62	70.73	19.86	8.16
-13.36	70.66	19.86	8.18
-14.96	70.98	19.86	8.20
-14.52	71.24	19.87	8.24
-18.29	71.11	19.87	8.33
-20.12	71.06	19.88	8.43
-22.66	71.05	19.88	8.54
-25.59	71.32	19.88	8.63
-26.92	71.51	19.88	8.61
-30.71	71.34	19.88	8.51
-28.45	71.19	19.88	8.40
-27.54	71.15	19.88	8.34
-26.18	71.30	19.88	8.38
-24.90	71.33	19.88	8.46
-23.97	71.07	19.88	8.49
-18.70	70.86	19.88	8.42
-13.66	70.59	19.87	8.27
-7.82	70.62	19.87	8.12
0.17	70.51	19.86	8.00
0.68	70.05	19.86	7.89
-0.24	69.63	19.85	7.73
-3.80	69.23	19.84	7.55
-13.83	69.14	19.83	7.38
-22.45	68.83	19.82	7.22
-28.59	68.23	19.81	7.08
-30.57	67.66	19.79	6.89
-32.82	67.00	19.77	6.62
-32.13	66.69	19.75	6.18
-30.24	65.93	19.72	5.66
-31.62	64.79	19.68	5.14
-30.03	63.66	19.64	4.51
-30.57	62.73	19.58	3.79
-32.27	62.28	19.54	2.98
-28.19	62.01	19.49	2.31
-30.20	61.96	19.47	1.96
-26.49	62.42	19.47	1.97
-23.93	62.83	19.49	2.30
-22.83	63.19	19.51	2.77
-20.79	63.02	19.51	3.22
-21.53	62.64	19.51	3.57
-18.89	62.31	19.50	3.78
-18.54	62.21	19.49	3.83
-17.11	62.39	19.48	3.75
-16.31	62.37	19.48	3.62
-16.00	62.22	19.47	3.52
-15.06	62.26	19.47	3.47
-10.57	62.52	19.47	3.44
-13.65	63.02	19.47	3.37
-13.26	63.11	19.48	3.26
-11.20	63.03	19.49	3.15
-16.62	62.86	19.50	3.07
-23.89	62.76	19.50	3.06
-25.41	62.92	19.49	3.09
-18.26	62.81	19.48	3.09
-16.09	62.57	19.48	3.04
5.39	62.34	19.47	2.93
39.00	62.18	19.46	2.78
60.51	62.31	19.45	2.59
84.09	62.09	19.45	2.38
104.50	61.90	19.44	2.15
114.90	61.50	19.44	1.94
105.20	61.48	19.43	1.75
74.51	61.68	19.43	1.58
40.38	61.48	19.42	1.45
3.71	61.12	19.42	1.37
-22.00	60.91	19.41	1.32
-34.89	60.97	19.41	1.28
-32.60	61.11	19.41	1.27
-20.84	60.90	19.41	1.23
-14.43	60.66	19.40	1.17
-10.43	60.45	19.40	1.08
-4.82	60.48	19.40	0.97
-3.73	60.66	19.39	0.86
0.02	60.36	19.38	0.72
6.12	60.19	19.38	0.57
9.75	59.82	19.37	0.43
13.60	59.79	19.37	0.29
15.15	59.97	19.36	0.18
16.40	59.63	19.35	0.05
16.67	59.50	19.35	-0.08
-3.19	59.11	19.34	-0.18
-88.40	59.07	19.33	-0.28
-217.10	59.22	19.32	-0.35
-332.80	58.92	19.32	-0.40
-343.00	58.69	19.31	-0.43
-210.20	58.44	19.30	-0.46
-59.46	58.48	19.29	-0.50
87.34	58.64	19.29	-0.54
193.80	58.31	19.28	-0.55
207.00	58.17	19.28	-0.52
136.90	57.92	19.27	-0.49
77.45	58.00	19.26	-0.47
67.34	58.09	19.26	-0.50
74.99	57.83	19.25	-0.53
72.88	57.60	19.25	-0.56
57.19	57.27	19.24	-0.59
45.82	57.17	19.24	-0.60
43.41	57.25	19.22	-0.58
43.84	56.92	19.22	-0.57
43.25	56.69	19.21	-0.58
34.05	56.64	19.21	-0.57
27.83	56.90	19.21	-0.54
27.60	57.22	19.21	-0.47
24.57	57.04	19.22	-0.38
21.22	56.77	19.22	-0.30
19.51	56.57	19.21	-0.26
15.85	56.64	19.20	-0.23
16.26	56.82	19.20	-0.19
14.13	56.75	19.19	-0.10
15.93	56.91	19.20	0.06
14.97	57.36	19.20	0.29
15.12	58.27	19.22	0.64
16.41	59.37	19.24	1.11
11.41	60.37	19.28	1.77
14.39	61.36	19.33	2.54
15.71	62.39	19.39	3.39
16.00	63.57	19.44	4.17
14.78	64.56	19.50	4.91
16.30	65.15	19.54	5.63
18.77	65.70	19.58	6.26
17.96	66.18	19.62	6.82
18.94	66.96	19.65	7.29
18.40	67.57	19.68	7.65
15.47	67.98	19.70	7.85
16.77	68.33	19.73	7.92
17.86	68.71	19.75	7.98
13.58	69.46	19.77	8.06
14.49	69.93	19.79	8.08
10.34	70.03	19.81	8.05
11.56	70.11	19.82	7.97
9.70	70.18	19.83	7.88
8.54	70.59	19.84	7.83
7.80	70.79	19.85	7.80
5.45	70.56	19.85	7.78
5.64	70.55	19.85	7.79
2.86	70.56	19.86	7.86
-0.45	70.87	19.86	7.98
1.13	71.03	19.86	8.03
-2.21	70.92	19.86	8.11
-3.21	70.87	19.87	8.18
-7.13	70.95	19.87	8.21
-12.48	71.31	19.88	8.25
-12.09	71.43	19.88	8.29
-15.70	71.29	19.88	8.31
-13.90	71.23	19.89	8.35
-13.21	71.20	19.88	8.38
-14.51	71.46	19.89	8.39
-15.09	71.43	19.88	8.40
-17.09	71.20	19.89	8.41
-16.18	71.03	19.88	8.41
-14.02	70.93	19.88	8.38
-8.49	71.04	19.88	8.35
-0.73	70.92	19.87	8.27
3.33	70.47	19.87	8.10
9.57	70.08	19.87	7.90
11.24	69.88	19.86	7.80
6.27	69.85	19.85	7.76
0.27	69.51	19.84	7.70
-9.67	68.99	19.83	7.56
-14.43	68.45	19.82	7.40
-19.75	68.08	19.80	7.19
-24.10	67.82	19.79	6.93
-24.13	67.15	19.76	6.60
-24.22	66.35	19.74	6.15
-22.81	65.45	19.71	5.58
-20.41	64.51	19.67	4.96
-19.98	63.79	19.62	4.27
-18.98	62.85	19.57	3.54
-19.22	62.00	19.52	2.90
-18.14	61.62	19.49	2.43
-16.93	61.99	19.47	2.21
-14.30	62.81	19.47	2.31
-16.10	63.12	19.49	2.62
-15.36	63.00	19.51	3.03
-14.03	62.59	19.51	3.34
-13.77	62.54	19.51	3.48
-15.26	62.67	19.50	3.51
-13.12	62.44	19.49	3.47
-13.88	62.16	19.48	3.40
-11.70	62.07	19.47	3.39
-9.88	62.21	19.47	3.40
-11.07	62.63	19.46	3.42
-10.34	62.76	19.46	3.42
-8.98	62.87	19.47	3.49
-7.74	62.84	19.48	3.28
-6.23	62.92	19.49	3.10
-11.73	63.17	19.50	3.05
-20.33	62.97	19.49	2.98
-17.14	62.73	19.49	2.85
-12.58	62.42	19.48	2.69
-4.93	62.43	19.47	2.58
17.43	62.57	19.47	2.59
42.65	62.27	19.46	2.59
61.78	62.09	19.45	2.55
77.41	61.84	19.45	2.44
96.87	61.81	19.44	2.24
101.50	61.98	19.44	1.99
80.43	61.70	19.43	1.73
53.05	61.42	19.43	1.49
12.62	61.16	19.42	1.33
-23.02	61.19	19.42	1.18
-45.55	61.38	19.42	1.06
-50.98	61.07	19.41	0.95
-39.88	60.88	19.41	0.84
-32.33	60.65	19.41	0.70
-25.17	60.69	19.40	0.56
-22.94	60.82	19.40	0.46
-21.08	60.57	19.39	0.35
-16.11	60.33	19.39	0.24
-13.08	60.13	19.39	0.14
-7.29	60.16	19.38	0.04
-4.96	60.25	19.37	-0.08
-5.78	59.84	19.37	-0.21
-3.54	59.60	19.36	-0.31
-0.91	59.36	19.35	-0.42
-4.24	59.36	19.35	-0.51
-39.29	59.40	19.34	-0.61
-147.10	59.13	19.33	-0.67
-267.80	58.84	19.32	-0.74
-364.10	58.70	19.32	-0.81
-325.60	58.70	19.31	-0.83
-174.30	58.79	19.30	-0.86
-33.38	58.47	19.29	-0.89
109.20	58.24	19.29	-0.90
190.00	58.03	19.28	-0.89
168.90	58.19	19.28	-0.84
96.14	58.31	19.27	-0.81
50.93	58.02	19.26	-0.79
54.69	57.78	19.26	-0.77
60.83	57.53	19.25	-0.78
51.80	57.60	19.25	-0.89
36.68	57.52	19.24	-0.95
27.30	57.18	19.23	-0.99
29.07	56.84	19.23	-0.98
30.64	56.66	19.22	-0.94
25.03	56.81	19.21	-0.90
16.95	57.06	19.21	-0.82
10.69	56.97	19.21	-0.71
10.62	56.92	19.22	-0.56
8.77	56.78	19.22	-0.42
6.20	56.92	19.22	-0.35
2.17	56.87	19.21	-0.31
0.46	56.59	19.20	-0.28
1.28	56.59	19.20	-0.25
-1.52	56.59	19.20	-0.14
-2.13	57.23	19.20	0.04
-2.04	57.91	19.21	0.35
-2.86	58.48	19.22	0.84
-0.90	59.39	19.25	1.54
2.48	60.48	19.30	2.29
3.54	61.91	19.35	3.09
4.92	62.97	19.40	4.04
3.80	63.76	19.46	4.97
7.47	64.53	19.51	5.72
6.04	65.19	19.56	6.31
8.15	66.15	19.60	6.73
7.17	66.71	19.63	7.01
4.89	67.00	19.66	7.25
6.98	67.48	19.69	7.54
5.35	67.97	19.71	7.85
3.15	68.76	19.73	8.06
5.79	69.19	19.75	8.12
4.25	69.44	19.78	8.08
3.14	69.76	19.80	8.02
4.25	69.96	19.81	8.02
1.55	70.42	19.83	8.04
3.77	70.60	19.84	8.06
2.35	70.48	19.84	8.11
4.69	70.38	19.85	8.12
0.80	70.47	19.85	8.04
-3.37	70.85	19.85	7.97
-4.54	70.99	19.86	7.96
-8.07	70.87	19.86	8.01
-8.52	70.87	19.87	8.09
-10.04	70.99	19.87	8.19
-13.78	71.27	19.87	8.38
-17.13	71.36	19.88	8.52
-21.49	71.32	19.88	8.49
-23.56	71.11	19.88	8.40
-25.53	71.19	19.89	8.29
-27.17	71.52	19.89	8.22
-26.61	71.47	19.89	8.24
-26.23	71.25	19.89	8.31
-25.30	71.14	19.89	8.38
-22.87	71.20	19.89	8.38
-21.80	71.34	19.89	8.39
-18.94	71.15	19.88	8.41
-14.30	70.93	19.88	8.38
-10.46	70.55	19.88	8.24
-2.76	70.40	19.87	8.08
-1.81	70.41	19.87	8.03
-1.78	70.07	19.86	7.96
-5.25	69.59	19.85	7.87
-12.43	69.16	19.84	7.75
-18.94	68.87	19.83	7.56
-25.88	68.75	19.81	7.31
-30.58	68.18	19.80	6.98
-32.91	67.59	19.78	6.62
-32.69	66.83	19.76	6.23
-32.41	66.12	19.73	5.78
-31.83	65.53	19.70	5.26
-30.05	64.46	19.66	4.64
-27.50	63.33	19.61	3.98
-26.16	62.28	19.56	3.29
-25.05	61.77	19.51	2.67
-24.37	61.97	19.48	2.24
-24.11	62.20	19.47	2.10
-21.99	62.63	19.47	2.27
-23.09	62.81	19.50	2.70
-21.95	62.94	19.51	3.26
-19.68	62.99	19.51	3.76
-21.76	62.64	19.50	4.05
-19.96	62.41	19.49	4.05
-19.07	62.15	19.49	3.82
-19.39	62.19	19.48	3.49
-19.59	62.42	19.47	3.27
-22.77	62.36	19.47	3.17
-16.60	62.41	19.46	3.18
-16.56	62.61	19.47	3.24
-15.83	62.96	19.48	3.25
-12.99	63.28	19.49	3.23
-23.68	63.09	19.50	3.10
-29.54	62.90	19.50	2.94
-25.06	62.67	19.49	2.83
-24.74	62.72	19.49	2.81
-13.67	62.86	19.48	2.85
12.30	62.57	19.47	2.85
38.70	62.29	19.47	2.80
57.21	62.08	19.46	2.67
77.87	62.12	19.45	2.49
91.93	62.23	19.45	2.27
88.95	61.91	19.44	2.06
64.38	61.65	19.44	1.82
32.26	61.43	19.43	1.58
-5.38	61.50	19.43	1.35
-34.62	61.52	19.42	1.15
-55.05	61.29	19.42	0.99
-53.97	61.05	19.42	0.88
-46.41	60.88	19.41	0.78
-35.28	61.02	19.41	0.69
-30.90	61.11	19.41	0.61
-29.74	60.77	19.40	0.55
-23.10	60.60	19.40	0.48
-19.01	60.38	19.40	0.42
-14.05	60.47	19.39	0.35
-9.08	60.49	19.38	0.26
-9.26	60.17	19.38	0.15
-4.75	59.92	19.38	0.02
-4.81	59.64	19.37	-0.07
-4.98	59.79	19.36	-0.15
-13.60	59.73	19.35	-0.25
-67.06	59.45	19.34	-0.32
-185.90	59.21	19.34	-0.42
-304.70	58.96	19.33	-0.49
-373.70	59.06	19.32	-0.54
-287.00	59.04	19.32	-0.56
-138.60	58.71	19.31	-0.60
6.04	58.51	19.30	-0.65
133.70	58.35	19.29	-0.68
185.60	58.50	19.29	-0.69
140.70	58.49	19.28	-0.68
71.67	58.18	19.28	-0.69
45.83	58.01	19.27	-0.71
52.25	57.77	19.27	-0.72
56.47	57.90	19.26	-0.72
43.15	57.74	19.25	-0.71
24.62	57.38	19.24	-0.75
21.95	57.04	19.24	-0.79
24.37	56.82	19.23	-0.77
22.35	57.02	19.22	-0.74
17.28	56.96	19.22	-0.72
10.03	56.81	19.21	-0.69
7.58	56.91	19.22	-0.62
6.45	56.99	19.22	-0.53
5.97	57.18	19.23	-0.41
1.50	57.01	19.22	-0.29
-4.57	56.74	19.21	-0.18
-3.45	56.52	19.21	-0.13
-6.06	56.58	19.20	-0.07
-6.47	57.02	19.20	0.03
-4.08	57.35	19.20	0.20
-3.35	57.70	19.21	0.50
0.59	58.40	19.23	0.94
3.11	59.47	19.26	1.52
4.37	60.78	19.30	2.25
4.91	61.98	19.35	3.05
6.13	62.85	19.41	3.86
6.86	63.55	19.46	4.62
6.50	64.46	19.51	5.28
8.48	65.48	19.56	5.82
9.22	66.07	19.59	6.28
7.18	66.45	19.63	6.71
8.67	66.84	19.66	7.09
